# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
155 6.458333333333331e-10 3.682675031710404e-18 9.442756491565140e-05 2.360689122891285e-04 4.226301463344528e-04 9.442756491565140e-17
156 6.499999999999998e-10 3.690569203961663e-18 9.462997958876058e-05 2.365749489719015e-04 4.237638129616926e-04 9.462997958876059e-17
157 6.541666666666664e-10 3.698374292522497e-18 9.483011006467941e-05 2.370752751616986e-04 4.248849901831266e-04 9.483011006467942e-17
158 6.583333333333331e-10 3.706091314783893e-18 9.502798243035623e-05 2.375699560758906e-04 4.259938104594639e-04 9.502798243035623e-17
159 6.624999999999997e-10 3.713721276022639e-18 9.522362246211895e-05 2.380590561552974e-04 4.270904049339488e-04 9.522362246211895e-17
160 6.666666666666664e-10 3.721265169800263e-18 9.541705563590419e-05 2.385426390897605e-04 4.281749035803908e-04 9.541705563590418e-17
161 6.708333333333331e-10 3.728723977789659e-18 9.560830712281177e-05 2.390207678070294e-04 4.292474351402518e-04 9.560830712281178e-17
162 6.749999999999997e-10 3.736098670212690e-18 9.579740180032538e-05 2.394935045008135e-04 4.303081271559530e-04 9.579740180032539e-17
163 6.791666666666664e-10 3.743390205816512e-18 9.598436425170544e-05 2.399609106292636e-04 4.313571059745752e-04 9.598436425170544e-17
164 6.833333333333330e-10 3.750599532062494e-18 9.616921877083319e-05 2.404230469270830e-04 4.323944967478592e-04 9.616921877083319e-17
165 6.874999999999997e-10 3.757727585297934e-18 9.635198936661369e-05 2.408799734165342e-04 4.334204233840964e-04 9.635198936661368e-17
166 6.916666666666664e-10 3.764775290948491e-18 9.653269976791003e-05 2.413317494197751e-04 4.344350086813544e-04 9.653269976791003e-17
167 6.958333333333331e-10 3.771743563508572e-18 9.671137342329674e-05 2.417784335582419e-04 4.354383742164561e-04 9.671137342329674e-17
168 6.999999999999998e-10 3.778633306756342e-18 9.688803350657288e-05 2.422200837664322e-04 4.364306403671831e-04 9.688803350657289e-17
169 7.041666666666665e-10 3.785445414019988e-18 9.706270292358945e-05 2.426567573089736e-04 4.374119264232988e-04 9.706270292358946e-17
170 7.083333333333331e-10 3.792180768053198e-18 9.723540430905635e-05 2.430885107726409e-04 4.383823504496205e-04 9.723540430905636e-17
171 7.124999999999998e-10 3.798840241385239e-18 9.740616003551896e-05 2.435154000887974e-04 4.393420293711361e-04 9.740616003551896e-17
172 7.166666666666665e-10 3.805424696291179e-18 9.757499221259434e-05 2.439374805314859e-04 4.402910789656036e-04 9.757499221259433e-17
173 7.208333333333331e-10 3.811934985030023e-18 9.774192269307753e-05 2.443548067326938e-04 4.412296138561487e-04 9.774192269307754e-17
174 7.249999999999998e-10 3.818371949932421e-18 9.790697307519030e-05 2.447674326879758e-04 4.421577476222877e-04 9.790697307519030e-17
175 7.291666666666664e-10 3.824736423563315e-18 9.807016470675167e-05 2.451754117668792e-04 4.430755926185905e-04 9.807016470675167e-17
176 7.333333333333331e-10 3.831029228797620e-18 9.823151868711846e-05 2.455787967177962e-04 4.439832601338132e-04 9.823151868711846e-17
177 7.374999999999998e-10 3.837251178938467e-18 9.839105587021710e-05 2.459776396755428e-04 4.448808603205836e-04 9.839105587021711e-17
178 7.416666666666664e-10 3.843403077733847e-18 9.854879686497046e-05 2.463719921624262e-04 4.457685022435108e-04 9.854879686497046e-17
179 7.458333333333331e-10 3.849485719819603e-18 9.870476204665649e-05 2.467619051166413e-04 4.466462939161930e-04 9.870476204665649e-17
180 7.499999999999997e-10 3.855499890493298e-18 9.885897155111021e-05 2.471474288777755e-04 4.475143421975960e-04 9.885897155111022e-17
